Index,Name,설명
11,ACB 계전기,ACB 계전기.A상 전류;ACB 계전기.B상 전류;ACB 계전기.C상 전류;ACB 계전기.A상 전압 (상전압);ACB 계전기.B상 전압 (상전압);ACB 계전기.C상 전압 (상전압);ACB 계전기.AB상 전압 (선간전압);ACB 계전기.BC상 전압 (선간전압);ACB 계전기.CA상 전압 (선간전압);ACB 계전기.역률;ACB 계전기.TOTAL 전력;ACB 계전기.TOTAL 무효전력;ACB 계전기.TOTAL 피상전력;ACB 계전기.주파수;ACB 계전기.정상전압;ACB 계전기.역상전압;ACB 계전기.전압 불평형률;ACB 계전기.정상 전류;ACB 계전기.역상전류;ACB 계전기.전류 불평형률;ACB 계전기.A상 유효전력(역유효전력);ACB 계전기.B상 전력(역유효전력);ACB 계전기.C상 전력(역유효전력);ACB 계전기.A상 무효전력;ACB 계전기.B상 무효전력;ACB 계전기.C상 무효전력;ACB 계전기.A상 피상전력;ACB 계전기.B상 피상전력;ACB 계전기.C상 피상전력
12,"배터리 1호기 (Cell, Module 정보)",배터리#1호기.Rack Average Cell Voltage;배터리#1호기.Max Cell Temperature;배터리#1호기.Max Cell Temperature Position;배터리#1호기.Min Cell Temperature;배터리#1호기.Min Cell Temperature Position;배터리#1호기.Max Module Temperature;배터리#1호기.Max Module Temperature Position;배터리#1호기.Min Module Temperature;배터리#1호기.Min Module Temperature Position;배터리#1호기.Max Module Humidity;배터리#1호기.Max Module Humidity Position;배터리#1호기.Min Module Humidity;배터리#1호기.Min ModuleHumidity Position
13,"배터리 2호기 (Cell, Module 정보)",배터리#2호기.Rack Average Cell Voltage;배터리#2호기.Max Cell Temperature;배터리#2호기.Max Cell Temperature Position;배터리#2호기.Min Cell Temperature;배터리#2호기.Min Cell Temperature Position;배터리#2호기.Max Module Temperature;배터리#2호기.Max Module Temperature Position;배터리#2호기.Min Module Temperature;배터리#2호기.Min Module Temperature Position;배터리#2호기.Max Module Humidity;배터리#2호기.Max Module Humidity Position;배터리#2호기.Min Module Humidity;배터리#2호기.Min ModuleHumidity Position
14,"배터리 3호기 (Cell, Module 정보)",배터리#3호기.Rack Average Cell Voltage;배터리#3호기.Max Cell Temperature;배터리#3호기.Max Cell Temperature Position;배터리#3호기.Min Cell Temperature;배터리#3호기.Min Cell Temperature Position;배터리#3호기.Max Module Temperature;배터리#3호기.Max Module Temperature Position;배터리#3호기.Min Module Temperature;배터리#3호기.Min Module Temperature Position;배터리#3호기.Max Module Humidity;배터리#3호기.Max Module Humidity Position;배터리#3호기.Min Module Humidity;배터리#3호기.Min ModuleHumidity Position
15,온습도계,온습도계.온도#1;온습도계.습도#1;온습도계.온도#2;온습도계.습도#2
16,냉난방기,냉난방기1.실내온도;냉난방기2.실내온도
17,"태양광 시스템 (온도,발전량,태양고도각)",태양광시스템.모듈온도;태양광시스템.외기온도;태양광시스템.금일발전량;태양광시스템.현재태양의고도각
18,"태양광시스템 (발전효율, 전력) 1초간격",태양광시스템.발전효율(이용율);태양광시스템.인버터 DC전력;태양광시스템.인버터 AC전력;태양광시스템.스트링전력
19,태양광시스템 (이용율만) 1초간격,태양광시스템.발전효율(이용율)
23,EV_급속_충전기,EV급속완속계전기.급속.TOTAL 전력
24,Starkoff_충전_계전기,Starkoff 계전기.TOTAL 전력
